recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-05-19T01:48:20.0654364Z,0.032,12461872,2042-03-16T07:55:55.5738396,8552,2579.585,83.19,-1276.751,1.283,298.939,15.36,Electric Car 04
2026-05-19T01:48:20.5800834Z,0.545,12461903,2042-03-16T09:11:43.9699443,8552,2552.667,83.126,-1261.944,358.008,298.645,15.376,Electric Car 04
2026-05-19T01:48:21.0869924Z,1.051,12461934,2042-03-16T10:26:29.3873372,8552,2525.692,84.874,-1247.323,356.29,298.276,15.36,Electric Car 04
2026-05-19T01:48:21.5873851Z,1.552,12461964,2042-03-16T11:40:25.6280253,8552,2498.622,86.159,-1232.852,358.612,298.132,15.362,Electric Car 04
2026-05-19T01:48:22.0925208Z,2.057,12461994,2042-03-16T12:55:00.3388629,8552,2471.597,87.516,-1218.241,356.638,298.539,15.38,Electric Car 04
2026-05-19T01:48:22.5959439Z,2.56,12462024,2042-03-16T14:09:16.5305694,8552,2444.583,89.394,-1203.675,356.476,297.99,15.36,Electric Car 04
2026-05-19T01:48:23.1049445Z,3.07,12462055,2042-03-16T15:24:31.3473451,8552,2431.043,90.558,-1196.514,354.833,297.761,15.366,Electric Car 04
2026-05-19T01:48:25.1681004Z,3.582,12462085,2042-03-16T16:40:05.9365317,8552,2403.994,93.954,-1182.34,352.857,297.564,15.361,Electric Car 04
2026-05-19T01:48:25.7003233Z,4.11,12462117,2042-03-16T17:58:06.8306630,8552,2378.439,97.44,-1169.056,353.186,297.433,14.133,Electric Car 04
2026-05-19T01:48:26.2197848Z,4.628,12462148,2042-03-16T19:14:35.9199437,8552,2352.127,100.33,-1155.461,355.906,297.19,15.366,Electric Car 04
2026-05-19T01:48:26.7509705Z,5.161,12462179,2042-03-16T20:33:20.9707079,8552,2326.367,102.127,-1142.294,356.641,297.032,14.112,Electric Car 04
2026-05-19T01:48:27.2677402Z,5.678,12462211,2042-03-16T21:49:36.5315517,8552,2300.073,103.654,-1128.925,357.493,296.86,15.367,Electric Car 04
2026-05-19T01:48:27.7915914Z,6.201,12462242,2042-03-16T23:06:48.8885116,8552,2274.361,104.611,-1115.977,358.317,296.682,13.98,Electric Car 04
2026-05-19T01:48:28.3119782Z,6.719,12462273,2042-03-17T00:23:25.9393515,8552,2248.013,105.254,-1102.89,359.14,296.186,15.344,Electric Car 04
2026-05-19T01:48:28.8279240Z,7.232,12462305,2042-03-17T01:39:07.4752540,8552,2224.093,105.526,-1091.057,359.526,296.377,11.344,Electric Car 04
2026-05-19T01:48:29.3437709Z,7.749,12462336,2042-03-17T02:55:23.2144764,8552,2206.776,105.777,-1082.469,358.832,296.358,8.344,Electric Car 04
2026-05-19T01:48:29.8546940Z,8.262,12462366,2042-03-17T04:11:11.2664974,8552,2194.847,106.069,-1076.569,358.703,296.296,5.589,Electric Car 04
2026-05-19T01:48:30.3754345Z,8.782,12462397,2042-03-17T05:27:57.4593214,8552,2186.065,106.246,-1071.99,0.284,303.371,3.491,Electric Car 04
2026-05-19T01:48:30.9152032Z,9.318,12462429,2042-03-17T06:47:09.0758286,8552,2181.944,106.124,-1066.523,1.232,329.421,3.49,Electric Car 04
2026-05-19T01:48:31.4185475Z,9.819,12462460,2042-03-17T08:01:01.9859374,8552,2181.252,106.037,-1059.942,359.503,21.903,3.491,Electric Car 04
2026-05-19T01:48:31.9307135Z,10.334,12462491,2042-03-17T09:17:09.5623042,8552,2185.755,106.349,-1052.244,357.642,32.363,5.417,Electric Car 04
2026-05-19T01:48:32.4369372Z,10.839,12462521,2042-03-17T10:31:42.4808361,8552,2192.87,107,-1041.582,356.874,34.225,7.418,Electric Car 04
2026-05-19T01:48:32.9605861Z,11.362,12462552,2042-03-17T11:48:57.4947118,8552,2200.603,107.684,-1030.224,357.253,34.256,6.594,Electric Car 04
2026-05-19T01:48:33.4806258Z,11.882,12462584,2042-03-17T13:05:41.5179138,8552,2209.146,108.314,-1017.682,358.16,34.26,8.595,Electric Car 04
2026-05-19T01:48:33.9839645Z,12.385,12462614,2042-03-17T14:20:02.5663984,8552,2213.721,108.665,-1010.963,356.823,34.26,7.679,Electric Car 04
2026-05-19T01:48:34.5086121Z,12.91,12462645,2042-03-17T15:37:29.3923404,8552,2222.469,109.532,-998.12,356.756,34.26,8.483,Electric Car 04
2026-05-19T01:48:35.0169670Z,13.418,12462676,2042-03-17T16:52:34.1920663,8552,2230.227,110.191,-987.371,358.937,43.068,4.705,Electric Car 04
2026-05-19T01:48:35.5421882Z,13.943,12462707,2042-03-17T18:10:02.4461287,8552,2236.258,110.355,-980.918,358.937,43.068,4.321,Electric Car 04
