recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:09:31.8512752Z,0.021,12461872,2042-03-16T07:54:24.4607475,10879,1426.479,164.594,2318.224,359.756,310.981,6.129,Sports-car
2026-06-23T07:09:31.9955472Z,0.563,12461888,2042-03-16T08:28:26.0045498,10879,1421.852,164.619,2322.243,359.774,310.981,6.129,Sports-car
2026-06-23T07:09:32.6627185Z,1.564,12461904,2042-03-16T09:29:35.6660324,10879,1417.225,164.642,2326.263,359.793,310.98,6.129,Sports-car
2026-06-23T07:09:32.7353157Z,1.839,12461920,2042-03-16T09:39:03.2278403,10879,1412.598,164.663,2330.282,359.82,310.979,6.129,Sports-car
2026-06-23T07:09:32.9956266Z,2.242,12461936,2042-03-16T10:24:04.3993386,10879,1407.971,164.679,2334.302,359.878,310.982,6.129,Sports-car
2026-06-23T07:09:33.2650725Z,2.615,12461952,2042-03-16T11:05:12.7755598,10879,1403.646,164.686,2337.516,359.98,300.914,4.69,Sports-car
2026-06-23T07:09:33.5358850Z,2.984,12461968,2042-03-16T11:46:05.9969194,10879,1400.077,164.687,2339.257,359.989,289.016,3.292,Sports-car
2026-06-23T07:09:33.8000261Z,3.339,12461984,2042-03-16T12:25:37.4662281,10879,1397.682,164.688,2339.852,359.994,273.979,1.681,Sports-car
2026-06-23T07:09:34.0669606Z,3.698,12462000,2042-03-16T13:05:26.3343007,10879,1395.51,164.688,2339.778,-0.004,264.341,2.681,Sports-car
2026-06-23T07:09:34.3408583Z,4.069,12462016,2042-03-16T13:46:14.2824190,10879,1392.741,164.688,2339.081,-0.002,248.493,3.083,Sports-car
2026-06-23T07:09:34.5915044Z,4.432,12462032,2042-03-16T14:22:57.9915684,10879,1389.903,164.688,2337.963,-0.002,248.495,3.018,Sports-car
2026-06-23T07:09:34.8624798Z,4.794,12462048,2042-03-16T15:03:01.6511620,10879,1388.025,164.688,2337.223,0,224.285,1.018,Sports-car
2026-06-23T07:09:35.1357428Z,5.167,12462064,2042-03-16T15:44:06.4969859,10879,1387.552,164.688,2337.036,0,224.285,0,Sports-car
2026-06-23T07:09:35.4061584Z,5.529,12462080,2042-03-16T16:24:04.9885982,10879,1387.545,164.688,2337.536,0.002,179.285,1,Sports-car
2026-06-23T07:09:36.7018559Z,5.948,12462096,2042-03-16T17:05:38.8784910,10879,1388.255,164.688,2337.338,0.004,134.285,2,Sports-car
2026-06-23T07:09:36.9722770Z,6.309,12462112,2042-03-16T17:45:29.2721463,10879,1389.075,164.688,2336.733,0,224.285,0.28,Sports-car
2026-06-23T07:09:37.2400504Z,6.661,12462128,2042-03-16T18:24:41.2148912,10879,1389.121,164.688,2337.016,0,224.285,0.397,Sports-car
2026-06-23T07:09:37.5045200Z,7.018,12462144,2042-03-16T19:04:11.6449779,10879,1389.033,164.688,2337.301,0,224.285,0.199,Sports-car
2026-06-23T07:09:37.7650634Z,7.364,12462160,2042-03-16T19:42:36.0278847,10879,1388.989,164.688,2337.443,0,224.285,0.099,Sports-car
