recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:09:31.8512752Z,0.021,12461872,2042-03-16T07:54:24.4607475,4966,1355.587,164.5,2396.515,358.06,215.945,4.07,Sedan
2026-06-23T07:09:31.9955472Z,0.563,12461888,2042-03-16T08:28:26.0045498,4966,1353.2,164.637,2393.224,358.06,215.944,4.066,Sedan
2026-06-23T07:09:32.6627185Z,1.564,12461904,2042-03-16T09:29:35.6660324,4966,1351.154,164.745,2389.735,358.894,204.849,4.066,Sedan
2026-06-23T07:09:32.7353157Z,1.839,12461920,2042-03-16T09:39:03.2278403,4966,1350.273,164.795,2385.857,359.693,180.741,4.066,Sedan
2026-06-23T07:09:32.9956266Z,2.242,12461936,2042-03-16T10:24:04.3993386,4966,1351.078,164.809,2381.969,359.929,155.869,4.066,Sedan
2026-06-23T07:09:33.2650725Z,2.615,12461952,2042-03-16T11:05:12.7755598,4966,1353.228,164.811,2378.567,0.003,139.563,4.066,Sedan
2026-06-23T07:09:33.5358850Z,2.984,12461968,2042-03-16T11:46:05.9969194,4966,1356.396,164.806,2375.29,0.106,133.093,5.066,Sedan
2026-06-23T07:09:33.8000261Z,3.339,12461984,2042-03-16T12:25:37.4662281,4966,1360.528,164.793,2371.562,0.168,131.188,6.066,Sedan
2026-06-23T07:09:34.0669606Z,3.698,12462000,2042-03-16T13:05:26.3343007,4966,1365.129,164.774,2367.548,0.186,131.011,6.148,Sedan
2026-06-23T07:09:34.3408583Z,4.069,12462016,2042-03-16T13:46:14.2824190,4966,1369.751,164.754,2363.53,0.189,130.991,6.1,Sedan
2026-06-23T07:09:34.5920089Z,4.432,12462032,2042-03-16T14:22:57.9915684,4966,1374.047,164.735,2359.798,0.187,130.984,5.281,Sedan
2026-06-23T07:09:34.8624798Z,4.794,12462048,2042-03-16T15:03:01.6511620,4966,1377.687,164.72,2356.635,0.18,130.984,4.365,Sedan
2026-06-23T07:09:35.1357428Z,5.167,12462064,2042-03-16T15:44:06.4969859,4966,1380.732,164.707,2353.989,0.168,130.985,3.703,Sedan
2026-06-23T07:09:35.4061584Z,5.529,12462080,2042-03-16T16:24:04.9885982,4966,1383.433,164.698,2351.643,0.137,130.98,3.451,Sedan
2026-06-23T07:09:36.7018559Z,5.948,12462096,2042-03-16T17:05:38.8784910,4966,1385.255,164.693,2350.006,0.056,134.202,1.451,Sedan
2026-06-23T07:09:36.9722770Z,6.309,12462112,2042-03-16T17:45:29.2721463,4966,1386.112,164.692,2349.131,0.044,137.637,1,Sedan
2026-06-23T07:09:37.2400504Z,6.661,12462128,2042-03-16T18:24:41.2148912,4966,1386.762,164.691,2348.371,0.036,141.324,1,Sedan
2026-06-23T07:09:37.5045200Z,7.018,12462144,2042-03-16T19:04:11.6449779,4966,1387.356,164.691,2347.568,0.03,145.648,1,Sedan
2026-06-23T07:09:37.7650634Z,7.364,12462160,2042-03-16T19:42:36.0278847,4966,1387.835,164.69,2346.8,0.024,151.06,0.811,Sedan
2026-06-23T07:09:38.0269320Z,7.714,12462176,2042-03-16T20:21:17.1896131,4966,1388.031,164.69,2346.445,0.024,151.06,0,Sedan
