recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-10T03:15:17.6699012Z,0.045,12461872,2042-03-16T07:57:56.8486042,1380,1362.681,163.594,2404.954,354.054,220.979,4.137,Sedan
2026-06-10T03:15:18.1844380Z,0.56,12461904,2042-03-16T09:13:55.0667287,1380,1357.24,164.332,2398.625,357.079,219.782,4.07,Sedan
2026-06-10T03:15:18.6854355Z,1.061,12461934,2042-03-16T10:27:51.6804032,1380,1352.226,164.703,2392.246,358.302,213.295,4.062,Sedan
2026-06-10T03:15:19.1976103Z,1.573,12461965,2042-03-16T11:43:29.9903174,1380,1350.862,164.803,2384.757,359.928,156.598,4.066,Sedan
2026-06-10T03:15:19.7129508Z,2.083,12461996,2042-03-16T12:58:50.4943863,1380,1354.858,164.809,2377.176,0.028,141.596,5.066,Sedan
2026-06-10T03:15:20.2168135Z,2.587,12462026,2042-03-16T14:13:16.2454379,1380,1363.27,164.782,2369.165,0.187,130.999,6.098,Sedan
2026-06-10T03:15:20.7300163Z,3.1,12462057,2042-03-16T15:28:55.6974049,1380,1372.39,164.742,2361.238,0.188,130.993,5.858,Sedan
2026-06-10T03:15:22.8086245Z,3.62,12462087,2042-03-16T16:45:46.0884812,1380,1379.091,164.714,2355.416,0.164,130.982,4.182,Sedan
2026-06-10T03:15:23.3354934Z,4.146,12462119,2042-03-16T18:03:22.6399488,1380,1384.646,164.695,2350.59,0.12,130.982,4.012,Sedan
2026-06-10T03:15:23.8544955Z,4.665,12462150,2042-03-16T19:20:04.3066659,1380,1388.232,164.689,2344.846,0.006,182.302,3.512,Sedan
2026-06-10T03:15:24.3641030Z,5.174,12462181,2042-03-16T20:35:12.8525895,1380,1387.223,164.721,2337.472,359.168,200.698,4.513,Sedan
2026-06-10T03:15:24.8717832Z,5.676,12462211,2042-03-16T21:49:17.9306417,1380,1380.996,165.403,2328.752,354.4,221.199,6.124,Sedan
2026-06-10T03:15:25.3997689Z,6.204,12462243,2042-03-16T23:07:15.9640789,1380,1372.931,166.643,2319.555,353.65,221.403,6.156,Sedan
2026-06-10T03:15:25.9060549Z,6.71,12462273,2042-03-17T00:21:58.2142037,1380,1364.839,168.036,2310.383,353.413,221.427,6.155,Sedan
2026-06-10T03:15:26.4121752Z,7.216,12462304,2042-03-17T01:36:44.5807666,1380,1360.794,168.742,2305.798,353.413,221.427,6.155,Sedan
2026-06-10T03:15:26.9243651Z,7.728,12462334,2042-03-17T02:52:20.4485798,1380,1352.685,170.137,2296.609,353.681,221.428,6.17,Sedan
2026-06-10T03:15:27.4545672Z,8.254,12462366,2042-03-17T04:10:03.6478287,1380,1344.562,171.398,2287.405,354.284,221.427,6.17,Sedan
2026-06-10T03:15:27.9702960Z,8.77,12462397,2042-03-17T05:26:14.4757772,1380,1336.431,172.485,2278.19,355.784,221.429,6.164,Sedan
2026-06-10T03:15:28.5021623Z,9.301,12462429,2042-03-17T06:44:33.6275267,1380,1328.282,173.302,2268.956,356.347,221.428,6.174,Sedan
2026-06-10T03:15:29.0316330Z,9.832,12462461,2042-03-17T08:03:03.1008759,1380,1320.126,174.038,2259.714,356.793,221.428,6.174,Sedan
2026-06-10T03:15:29.5479301Z,10.348,12462492,2042-03-17T09:19:10.5892328,1380,1311.966,174.68,2250.468,357.092,221.428,6.174,Sedan
2026-06-10T03:15:30.0508307Z,10.849,12462522,2042-03-17T10:33:06.9970695,1380,1303.805,175.267,2241.219,357.476,221.428,6.174,Sedan
2026-06-10T03:15:30.5771862Z,11.376,12462554,2042-03-17T11:50:56.0015977,1380,1295.64,175.755,2231.968,357.817,221.428,6.174,Sedan
2026-06-10T03:15:31.0770506Z,11.876,12462584,2042-03-17T13:04:47.4355678,1380,1287.474,176.174,2222.715,358.33,221.428,6.174,Sedan
2026-06-10T03:15:31.5857767Z,12.384,12462614,2042-03-17T14:19:52.6033866,1380,1279.31,176.457,2213.463,358.806,221.428,6.17,Sedan
2026-06-10T03:15:32.1119874Z,12.911,12462646,2042-03-17T15:37:35.5540249,1380,1271.146,176.701,2204.212,358.872,221.428,6.17,Sedan
2026-06-10T03:15:32.6382778Z,13.433,12462677,2042-03-17T16:54:45.0241870,1380,1262.971,176.957,2194.948,358.797,221.427,6.182,Sedan
2026-06-10T03:15:33.1423023Z,13.938,12462708,2042-03-17T18:09:16.1396760,1380,1254.792,177.221,2185.681,358.758,221.427,6.182,Sedan
2026-06-10T03:15:33.6567264Z,14.452,12462738,2042-03-17T19:25:15.4277202,1380,1246.614,177.484,2176.413,358.789,221.426,6.182,Sedan
2026-06-10T03:15:34.1767289Z,14.972,12462770,2042-03-17T20:42:02.3527521,1380,1238.435,177.735,2167.146,358.906,221.426,6.182,Sedan
2026-06-10T03:15:34.6866326Z,15.483,12462800,2042-03-17T21:57:23.0736776,1380,1234.346,177.843,2162.511,359.08,221.428,6.182,Sedan
2026-06-10T03:15:35.2002593Z,15.993,12462831,2042-03-17T23:12:43.1979658,1380,1226.166,178.031,2153.242,359.276,221.428,6.182,Sedan
2026-06-10T03:15:35.7075136Z,16.501,12462861,2042-03-18T00:27:46.7689315,1380,1217.978,178.139,2143.964,359.76,221.428,6.189,Sedan
2026-06-10T03:15:36.2189852Z,17.013,12462892,2042-03-18T01:43:18.2671898,1380,1209.788,178.182,2134.683,359.927,221.429,6.189,Sedan
2026-06-10T03:15:36.7467589Z,17.54,12462924,2042-03-18T03:01:12.7562890,1380,1201.597,178.162,2125.402,0.297,221.429,6.189,Sedan
2026-06-10T03:15:37.2671741Z,18.062,12462955,2042-03-18T04:18:10.3679155,1380,1193.407,178.091,2116.12,0.422,221.429,6.189,Sedan
2026-06-10T03:15:37.7815536Z,18.575,12462986,2042-03-18T05:33:58.1097189,1380,1185.217,177.964,2106.84,0.795,221.428,6.189,Sedan
2026-06-10T03:15:38.3026731Z,19.097,12463017,2042-03-18T06:51:01.1294181,1380,1177.027,177.784,2097.56,0.949,221.427,6.189,Sedan
2026-06-10T03:15:38.8306466Z,19.623,12463049,2042-03-18T08:08:46.2527764,1380,1168.837,177.535,2088.279,1.391,221.428,6.193,Sedan
2026-06-10T03:15:39.3556469Z,20.15,12463081,2042-03-18T09:26:35.7782182,1380,1160.644,177.231,2078.995,1.467,221.428,6.193,Sedan
2026-06-10T03:15:39.8626302Z,20.657,12463111,2042-03-18T10:41:23.6362335,1380,1152.451,176.911,2069.711,1.464,221.428,6.193,Sedan
2026-06-10T03:15:40.3656988Z,21.159,12463141,2042-03-18T11:55:30.4986001,1380,1144.258,176.597,2060.427,1.42,221.429,6.193,Sedan
2026-06-10T03:15:40.8740856Z,21.668,12463172,2042-03-18T13:10:43.0995661,1380,1136.053,176.309,2051.13,1.198,221.428,6.204,Sedan
2026-06-10T03:15:41.3947808Z,22.189,12463203,2042-03-18T14:27:33.9255877,1380,1127.845,176.056,2041.828,1.082,221.429,6.204,Sedan
2026-06-10T03:15:41.9150294Z,22.71,12463234,2042-03-18T15:44:31.0082742,1380,1119.657,175.868,2032.551,0.576,221.428,6.138,Sedan
2026-06-10T03:15:42.4433703Z,23.237,12463266,2042-03-18T17:02:25.1157269,1380,1111.524,175.758,2023.335,0.328,221.428,6.204,Sedan
2026-06-10T03:15:42.9552470Z,23.748,12463296,2042-03-18T18:17:47.7158767,1380,1107.419,175.738,2018.683,0.03,221.428,6.204,Sedan
2026-06-10T03:15:43.4746887Z,24.268,12463328,2042-03-18T19:34:34.5199301,1380,1099.21,175.753,2009.381,359.898,221.427,6.202,Sedan
2026-06-10T03:15:43.9991796Z,24.792,12463359,2042-03-18T20:51:58.9255624,1380,1090.997,175.783,2000.074,359.833,221.427,6.216,Sedan
