recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:05:08.4624970Z,0.026,12461872,2042-03-16T08:02:02.0723345,13138,1343.257,164.817,2386.486,0.197,328.511,5.095,Sports-car
2026-06-23T07:05:08.6735872Z,0.397,12461888,2042-03-16T08:32:29.7895104,13138,1340.595,164.8,2390.832,0.197,328.511,5.095,Sports-car
2026-06-23T07:05:08.9405775Z,0.75,12461904,2042-03-16T09:11:41.2960954,13138,1337.187,164.751,2395.234,0.745,317.032,6.096,Sports-car
2026-06-23T07:05:09.2033759Z,1.108,12461920,2042-03-16T09:51:19.7730229,13138,1332.819,164.644,2399.509,1.261,311.751,6.144,Sports-car
2026-06-23T07:05:09.4719121Z,1.464,12461936,2042-03-16T10:30:58.1058957,13138,1328.213,164.496,2403.573,1.505,311.091,6.144,Sports-car
2026-06-23T07:05:09.7406293Z,1.821,12461952,2042-03-16T11:10:19.8623522,13138,1323.581,164.327,2407.606,1.632,311.01,6.144,Sports-car
2026-06-23T07:05:10.0048412Z,2.17,12461968,2042-03-16T11:49:02.3465538,13138,1318.946,164.148,2411.635,1.724,310.991,6.144,Sports-car
2026-06-23T07:05:10.2845578Z,2.522,12461984,2042-03-16T12:30:55.0739803,13138,1314.311,163.959,2415.663,1.797,310.984,6.144,Sports-car
2026-06-23T07:05:10.5454066Z,2.871,12462000,2042-03-16T13:09:29.3452663,13138,1309.675,163.763,2419.69,1.86,310.984,6.144,Sports-car
2026-06-23T07:05:10.8009715Z,3.211,12462016,2042-03-16T13:47:17.1480381,13138,1305.039,163.56,2423.717,1.916,310.979,6.144,Sports-car
2026-06-23T07:05:11.0829309Z,3.558,12462032,2042-03-16T14:28:56.5104445,13138,1300.404,163.352,2427.744,1.966,310.982,6.144,Sports-car
2026-06-23T07:05:11.3416563Z,3.906,12462048,2042-03-16T15:07:07.5479574,13138,1295.768,163.139,2431.771,2.016,310.983,6.144,Sports-car
2026-06-23T07:05:11.6047914Z,4.25,12462064,2042-03-16T15:45:20.5365813,13138,1291.133,162.92,2435.798,2.066,310.98,6.144,Sports-car
2026-06-23T07:05:11.8805192Z,4.592,12462080,2042-03-16T16:26:33.6192067,13138,1286.498,162.696,2439.824,2.121,310.981,6.144,Sports-car
2026-06-23T07:05:13.0359980Z,5.008,12462096,2042-03-16T17:07:24.2489364,13138,1281.863,162.467,2443.85,2.149,310.981,6.144,Sports-car
