recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:05:08.4624970Z,0.026,12461872,2042-03-16T08:02:02.0723345,3514,1339.366,164.964,2378.114,357.136,220.981,6.144,Van
2026-06-23T07:05:08.6735872Z,0.397,12461888,2042-03-16T08:32:29.7895104,3514,1335.344,165.271,2373.485,357.136,220.981,6.136,Van
2026-06-23T07:05:08.9405775Z,0.75,12461904,2042-03-16T09:11:41.2960954,3514,1331.328,165.663,2368.861,355.543,220.982,6.139,Van
2026-06-23T07:05:09.2033759Z,1.108,12461920,2042-03-16T09:51:19.7730229,3514,1327.317,166.187,2364.245,354.655,220.981,6.137,Van
2026-06-23T07:05:09.4719121Z,1.464,12461936,2042-03-16T10:30:58.1058957,3514,1323.311,166.778,2359.633,354.298,220.979,6.137,Van
2026-06-23T07:05:09.7406293Z,1.821,12461952,2042-03-16T11:10:19.8623522,3514,1319.379,167.386,2355.106,354.124,220.98,5.917,Van
2026-06-23T07:05:10.0038434Z,2.17,12461968,2042-03-16T11:49:02.3465538,3514,1315.994,167.92,2351.21,354.056,220.982,4.46,Van
2026-06-23T07:05:10.2845578Z,2.522,12461984,2042-03-16T12:30:55.0739803,3514,1313.334,168.342,2348.148,354.048,220.98,3.696,Van
2026-06-23T07:05:10.5454066Z,2.871,12462000,2042-03-16T13:09:29.3452663,3514,1310.942,168.722,2345.394,354.055,220.984,3.64,Van
2026-06-23T07:05:10.8009715Z,3.211,12462016,2042-03-16T13:47:17.1480381,3514,1308.594,169.094,2342.691,354.089,220.981,3.558,Van
2026-06-23T07:05:11.0829309Z,3.558,12462032,2042-03-16T14:28:56.5104445,3514,1306.022,169.498,2339.73,354.147,220.983,4.328,Van
2026-06-23T07:05:11.3416563Z,3.906,12462048,2042-03-16T15:07:07.5479574,3514,1302.902,169.98,2336.14,354.263,220.98,5.233,Van
2026-06-23T07:05:11.6047914Z,4.25,12462064,2042-03-16T15:45:20.5365813,3514,1299.187,170.537,2331.863,354.492,220.982,6.152,Van
2026-06-23T07:05:11.8805192Z,4.592,12462080,2042-03-16T16:26:33.6192067,3514,1295.17,171.107,2327.239,354.882,220.981,6.152,Van
2026-06-23T07:05:13.0359980Z,5.008,12462096,2042-03-16T17:07:24.2489364,3514,1291.151,171.631,2322.612,355.346,220.98,6.152,Van
