recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:05:08.4624970Z,0.026,12461872,2042-03-16T08:02:02.0723345,1380,1362.681,163.594,2404.954,354.054,220.979,4.137,Sedan
2026-06-23T07:05:08.6735872Z,0.397,12461888,2042-03-16T08:32:29.7895104,1380,1359.936,164.018,2401.794,354.358,220.98,4.277,Sedan
2026-06-23T07:05:08.9405775Z,0.75,12461904,2042-03-16T09:11:41.2960954,1380,1357.053,164.418,2398.475,355.224,220.978,4.552,Sedan
2026-06-23T07:05:09.2033759Z,1.108,12461920,2042-03-16T09:51:19.7730229,1380,1354.268,164.673,2395.195,358.16,219.623,4.071,Sedan
2026-06-23T07:05:09.4729149Z,1.464,12461936,2042-03-16T10:30:58.1058957,1380,1351.942,164.765,2391.875,359.261,210.402,4.066,Sedan
2026-06-23T07:05:09.7406293Z,1.821,12461952,2042-03-16T11:10:19.8623522,1380,1350.479,164.799,2388.171,359.766,192.544,3.997,Sedan
2026-06-23T07:05:10.0048412Z,2.17,12461968,2042-03-16T11:49:02.3465538,1380,1350.391,164.809,2384.217,359.934,170.204,4.066,Sedan
2026-06-23T07:05:10.2845578Z,2.522,12461984,2042-03-16T12:30:55.0739803,1380,1351.836,164.812,2380.504,359.984,147.266,4.066,Sedan
2026-06-23T07:05:10.5454066Z,2.871,12462000,2042-03-16T13:09:29.3452663,1380,1354.7,164.81,2376.943,0.056,136.258,5.115,Sedan
2026-06-23T07:05:10.8009715Z,3.211,12462016,2042-03-16T13:47:17.1480381,1380,1358.768,164.8,2373.081,0.157,131.122,6.115,Sedan
2026-06-23T07:05:11.0829309Z,3.558,12462032,2042-03-16T14:28:56.5104445,1380,1363.391,164.781,2369.054,0.184,130.986,6.148,Sedan
2026-06-23T07:05:11.3416563Z,3.906,12462048,2042-03-16T15:07:07.5479574,1380,1368.019,164.761,2365.033,0.189,130.984,6.114,Sedan
2026-06-23T07:05:11.6047914Z,4.25,12462064,2042-03-16T15:45:20.5365813,1380,1372.024,164.744,2361.554,0.189,130.983,4.495,Sedan
2026-06-23T07:05:11.8815217Z,4.592,12462080,2042-03-16T16:26:33.6192067,1380,1375.403,164.729,2358.618,0.187,130.98,4.458,Sedan
2026-06-23T07:05:13.0359980Z,5.008,12462096,2042-03-16T17:07:24.2489364,1380,1378.586,164.716,2355.854,0.177,130.981,3.972,Sedan
