recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-07-01T03:12:27.7020000Z,0.029,12461872,2042-03-16T08:03:03.4015985,3460,1390.666,164.909,2333.742,2.361,46.946,3.541,Sedan
2026-07-01T03:12:27.9104419Z,0.404,12461888,2042-03-16T08:33:59.4220106,3460,1393.466,164.786,2335.877,1.646,58.379,3.541,Sedan
2026-07-01T03:12:28.1808161Z,0.764,12461904,2042-03-16T09:13:55.8915583,3460,1396.744,164.719,2336.802,0.526,90.088,3.541,Sedan
2026-07-01T03:12:28.4440952Z,1.119,12461920,2042-03-16T09:52:46.9187834,3460,1400.086,164.697,2335.986,0.158,117.376,3.541,Sedan
2026-07-01T03:12:28.7107004Z,1.476,12461936,2042-03-16T10:32:23.7025397,3460,1403.495,164.688,2333.836,0.127,126.012,4.541,Sedan
2026-07-01T03:12:28.9738360Z,1.823,12461952,2042-03-16T11:10:56.1571764,3460,1407.452,164.675,2330.718,0.151,130.07,5.541,Sedan
2026-07-01T03:12:29.2311851Z,2.17,12461968,2042-03-16T11:49:17.1945597,3460,1411.891,164.658,2326.921,0.191,130.965,6.144,Sedan
2026-07-01T03:12:29.4981432Z,2.518,12461984,2042-03-16T12:27:56.6656340,3460,1416.53,164.636,2322.892,0.215,130.98,6.144,Sedan
2026-07-01T03:12:29.7736476Z,2.864,12462000,2042-03-16T13:09:27.7552956,3460,1421.169,164.612,2318.863,0.231,130.98,6.144,Sedan
2026-07-01T03:12:30.0368321Z,3.215,12462016,2042-03-16T13:48:10.8267175,3460,1425.807,164.587,2314.833,0.246,130.982,6.144,Sedan
2026-07-01T03:12:30.2998305Z,3.565,12462032,2042-03-16T14:26:49.6971060,3460,1430.445,164.559,2310.804,0.261,130.977,6.144,Sedan
2026-07-01T03:12:30.5652474Z,3.916,12462048,2042-03-16T15:05:32.0271670,3460,1435.084,164.53,2306.775,0.278,130.98,6.144,Sedan
2026-07-01T03:12:30.8443314Z,4.267,12462064,2042-03-16T15:47:22.6055832,3460,1439.722,164.5,2302.746,0.296,130.982,6.144,Sedan
2026-07-01T03:12:31.1106134Z,4.62,12462080,2042-03-16T16:26:34.4359569,3460,1444.36,164.467,2298.717,0.32,130.982,6.144,Sedan
2026-07-01T03:12:33.2675215Z,5.035,12462096,2042-03-16T17:06:30.2953138,3460,1448.998,164.431,2294.688,0.339,130.981,6.144,Sedan
2026-07-01T03:13:14.8434535Z,5.442,12462112,2042-03-16T17:46:35.0257426,3460,1453.636,164.396,2290.658,0.323,130.98,6.144,Sedan
2026-07-01T03:13:15.1169049Z,5.803,12462128,2042-03-16T18:26:16.1740899,3460,1458.135,164.363,2286.751,0.298,130.979,5.773,Sedan
2026-07-01T03:13:15.3701344Z,6.149,12462144,2042-03-16T19:04:20.2418635,3460,1461.813,164.339,2283.555,0.276,130.98,3.973,Sedan
2026-07-01T03:13:15.6387608Z,6.508,12462160,2042-03-16T19:43:43.3657310,3460,1464.057,164.325,2281.606,0.267,130.982,1.973,Sedan
