recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-10T03:13:31.6400082Z,0.046,12461872,2042-03-16T07:58:05.9099713,8641,1318.843,164.216,2407.753,358.291,130.981,6.129,Donut Van
2026-06-10T03:13:32.1639994Z,0.571,12461905,2042-03-16T09:15:37.6883759,8641,1328.11,164.557,2399.702,358.568,130.979,6.144,Donut Van
2026-06-10T03:13:32.6855477Z,1.093,12461937,2042-03-16T10:32:38.0130334,8641,1336.488,164.767,2392.511,359.54,129.127,4.066,Donut Van
2026-06-10T03:13:33.2114548Z,1.618,12461968,2042-03-16T11:50:13.1310648,8641,1343.364,164.808,2388.338,359.91,106.894,4.066,Donut Van
2026-06-10T03:13:33.7383853Z,2.144,12462000,2042-03-16T13:07:48.3843148,8641,1351.131,164.813,2389.125,359.994,61.159,4.057,Donut Van
2026-06-10T03:13:34.2482073Z,2.653,12462030,2042-03-16T14:22:59.2025153,8641,1357.626,164.583,2394.708,3.287,42.997,5.07,Donut Van
2026-06-10T03:13:34.7627361Z,3.167,12462061,2042-03-16T15:38:57.5874716,8641,1365.329,163.547,2403.429,6.073,40.988,6.152,Donut Van
2026-06-10T03:13:36.8838267Z,3.82,12462091,2042-03-16T17:15:15.1795846,8641,1373.349,162.19,2412.66,6.532,40.981,6.152,Donut Van
2026-06-10T03:13:37.3798763Z,4.347,12462134,2042-03-16T18:33:07.3254356,8641,1381.364,160.775,2421.886,6.636,40.979,6.152,Donut Van
2026-06-10T03:13:37.8952488Z,4.872,12462165,2042-03-16T19:50:39.6755882,8641,1389.379,159.373,2431.113,6.405,40.981,6.152,Donut Van
2026-06-10T03:13:38.4199192Z,5.403,12462197,2042-03-16T21:09:06.0282442,8641,1397.403,158.079,2440.35,5.542,40.979,6.152,Donut Van
2026-06-10T03:13:38.9422965Z,5.928,12462228,2042-03-16T22:26:37.6523849,8641,1404.982,157.322,2449.074,0.848,40.981,4.712,Donut Van
2026-06-10T03:13:39.4665476Z,6.455,12462259,2042-03-16T23:44:27.1711378,8641,1410.192,157.258,2455.072,0.178,40.98,4.147,Donut Van
2026-06-10T03:13:40.0190882Z,7.007,12462289,2042-03-17T01:05:57.6037851,8641,1415.458,157.248,2461.133,0.019,40.981,4.661,Donut Van
2026-06-10T03:13:40.5205348Z,7.511,12462323,2042-03-17T02:20:20.7430348,8641,1422.716,156.927,2469.489,3.487,40.981,6.163,Donut Van
2026-06-10T03:13:41.0259083Z,8.018,12462353,2042-03-17T03:35:07.9193600,8641,1430.774,156.027,2478.765,4.719,40.982,6.159,Donut Van
2026-06-10T03:13:41.5546547Z,8.548,12462385,2042-03-17T04:53:22.5388066,8641,1438.826,154.967,2488.034,5.089,40.981,6.17,Donut Van
2026-06-10T03:13:42.0729517Z,9.067,12462416,2042-03-17T06:10:01.0302291,8641,1446.887,153.863,2497.313,5.142,40.979,6.17,Donut Van
2026-06-10T03:13:42.6018292Z,9.597,12462448,2042-03-17T07:28:16.4607757,8641,1454.855,152.785,2506.486,4.97,40.982,5.884,Donut Van
2026-06-10T03:13:43.1758424Z,10.171,12462479,2042-03-17T08:53:02.7813969,8641,1462.826,151.766,2515.661,4.546,40.98,6.17,Donut Van
