recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-10T03:13:31.6400082Z,0.046,12461872,2042-03-16T07:58:05.9099713,2516,1367.47,162.812,2410.467,353.61,220.982,4.132,Garbage Truck
2026-06-10T03:13:32.1639994Z,0.571,12461905,2042-03-16T09:15:37.6883759,2516,1361.716,163.761,2403.842,354.188,220.982,4.622,Garbage Truck
2026-06-10T03:13:32.6855477Z,1.093,12461937,2042-03-16T10:32:38.0130334,2516,1356.355,164.501,2397.671,355.587,220.981,4.054,Garbage Truck
2026-06-10T03:13:33.2104500Z,1.618,12461968,2042-03-16T11:50:13.1310648,2516,1351.142,164.774,2392.596,359.367,236.183,3.528,Garbage Truck
2026-06-10T03:13:33.7383853Z,2.144,12462000,2042-03-16T13:07:48.3843148,2516,1344.527,164.809,2391.421,359.932,286.473,3.527,Garbage Truck
2026-06-10T03:13:34.2482073Z,2.653,12462030,2042-03-16T14:22:59.2025153,2516,1338.085,164.769,2395.223,0.662,307.663,4.528,Garbage Truck
2026-06-10T03:13:34.7627361Z,3.167,12462061,2042-03-16T15:38:57.5874716,2516,1329.784,164.551,2402.223,1.456,310.974,6.144,Garbage Truck
2026-06-10T03:13:36.8838267Z,3.82,12462091,2042-03-16T17:15:15.1795846,2516,1320.51,164.21,2410.278,1.7,310.978,6.144,Garbage Truck
2026-06-10T03:13:37.3798763Z,4.347,12462134,2042-03-16T18:33:07.3254356,2516,1306.597,163.629,2422.365,1.896,310.978,6.159,Garbage Truck
2026-06-10T03:13:37.8952488Z,4.872,12462165,2042-03-16T19:50:39.6755882,2516,1297.303,163.21,2430.438,1.998,310.982,6.159,Garbage Truck
2026-06-10T03:13:38.4199192Z,5.403,12462197,2042-03-16T21:09:06.0282442,2516,1288.009,162.77,2438.511,2.1,310.982,6.159,Garbage Truck
2026-06-10T03:13:38.9422965Z,5.928,12462228,2042-03-16T22:26:37.6523849,2516,1278.715,162.312,2446.585,2.113,310.982,6.163,Garbage Truck
2026-06-10T03:13:39.4665476Z,6.455,12462259,2042-03-16T23:44:27.1711378,2516,1269.416,161.873,2454.663,1.966,310.98,6.163,Garbage Truck
2026-06-10T03:13:40.0190882Z,7.007,12462289,2042-03-17T01:05:57.6037851,2516,1264.766,161.666,2458.703,1.888,310.981,6.163,Garbage Truck
2026-06-10T03:13:40.5205348Z,7.511,12462323,2042-03-17T02:20:20.7430348,2516,1250.815,161.094,2470.822,1.65,310.981,6.163,Garbage Truck
2026-06-10T03:13:41.0249031Z,8.018,12462353,2042-03-17T03:35:07.9193600,2516,1246.164,160.922,2474.862,1.558,310.981,6.163,Garbage Truck
2026-06-10T03:13:41.5546547Z,8.548,12462385,2042-03-17T04:53:22.5388066,2516,1236.862,160.609,2482.942,1.349,310.982,6.163,Garbage Truck
2026-06-10T03:13:42.0729517Z,9.067,12462416,2042-03-17T06:10:01.0302291,2516,1228.262,160.365,2490.413,1.12,310.98,6.163,Garbage Truck
2026-06-10T03:13:42.6018292Z,9.597,12462448,2042-03-17T07:28:16.4607757,2516,1218.954,160.16,2498.499,0.834,310.98,6.167,Garbage Truck
2026-06-10T03:13:43.1758424Z,10.171,12462479,2042-03-17T08:53:02.7813969,2516,1209.64,159.988,2506.59,0.771,310.98,6.178,Garbage Truck
