recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:14:57.4714636Z,0.022,12461872,2042-03-16T08:00:31.5143565,13138,1343.257,164.817,2386.486,0.197,328.511,5.095,Sports-car
2026-06-23T07:14:57.6847827Z,0.317,12461888,2042-03-16T08:32:58.9870688,13138,1340.595,164.8,2390.832,0.197,328.511,5.095,Sports-car
2026-06-23T07:14:57.9441820Z,0.611,12461904,2042-03-16T09:10:39.7656406,13138,1337.187,164.751,2395.234,0.745,317.032,6.096,Sports-car
2026-06-23T07:14:58.2114882Z,0.896,12461920,2042-03-16T09:49:58.3917932,13138,1332.819,164.644,2399.509,1.261,311.751,6.144,Sports-car
2026-06-23T07:14:58.4886176Z,1.178,12461936,2042-03-16T10:31:39.6775874,13138,1328.213,164.496,2403.573,1.505,311.091,6.144,Sports-car
2026-06-23T07:14:58.7510179Z,1.458,12461952,2042-03-16T11:10:15.8040358,13138,1323.581,164.327,2407.606,1.632,311.01,6.144,Sports-car
2026-06-23T07:14:59.0225277Z,1.75,12461968,2042-03-16T11:50:37.0217092,13138,1318.946,164.148,2411.635,1.724,310.991,6.144,Sports-car
2026-06-23T07:14:59.2780571Z,2.046,12461984,2042-03-16T12:28:23.5484242,13138,1314.311,163.959,2415.663,1.797,310.984,6.144,Sports-car
2026-06-23T07:14:59.5538403Z,2.34,12462000,2042-03-16T13:09:00.7588845,13138,1309.675,163.763,2419.69,1.86,310.984,6.144,Sports-car
2026-06-23T07:14:59.8212650Z,2.625,12462016,2042-03-16T13:48:33.1015338,13138,1305.039,163.56,2423.717,1.916,310.979,6.144,Sports-car
2026-06-23T07:15:00.0741081Z,2.915,12462032,2042-03-16T14:25:50.2176006,13138,1300.404,163.352,2427.744,1.966,310.982,6.144,Sports-car
2026-06-23T07:15:00.3426751Z,3.202,12462048,2042-03-16T15:05:34.3995289,13138,1295.768,163.139,2431.771,2.016,310.983,6.144,Sports-car
2026-06-23T07:15:00.6076984Z,3.485,12462064,2042-03-16T15:44:37.3982240,13138,1291.133,162.92,2435.798,2.066,310.98,6.144,Sports-car
2026-06-23T07:15:00.8877297Z,3.764,12462080,2042-03-16T16:25:54.8187206,13138,1286.498,162.696,2439.824,2.121,310.981,6.144,Sports-car
2026-06-23T07:15:02.2297123Z,4.103,12462096,2042-03-16T17:05:26.9800517,13138,1281.863,162.467,2443.85,2.149,310.981,6.144,Sports-car
2026-06-23T07:15:02.4965080Z,4.389,12462112,2042-03-16T17:44:53.8187679,13138,1277.226,162.239,2447.878,2.093,310.983,6.148,Sports-car
2026-06-23T07:15:02.7609136Z,4.668,12462128,2042-03-16T18:23:24.0441118,13138,1272.588,162.019,2451.907,2.017,310.977,6.148,Sports-car
2026-06-23T07:15:03.0255723Z,4.954,12462144,2042-03-16T19:02:50.8973672,13138,1267.95,161.807,2455.936,1.94,310.981,6.148,Sports-car
2026-06-23T07:15:03.3042736Z,5.234,12462160,2042-03-16T19:44:11.7522950,13138,1263.306,161.602,2459.971,1.865,310.982,6.163,Sports-car
2026-06-23T07:15:03.5598154Z,5.524,12462176,2042-03-16T20:21:48.7585477,13138,1258.656,161.406,2464.01,1.787,310.982,6.163,Sports-car
2026-06-23T07:15:03.8248282Z,5.822,12462192,2042-03-16T21:00:50.0605159,13138,1254.005,161.218,2468.05,1.705,310.981,6.163,Sports-car
2026-06-23T07:15:04.0911514Z,6.107,12462208,2042-03-16T21:40:12.9829990,13138,1249.355,161.039,2472.09,1.622,310.98,6.163,Sports-car
2026-06-23T07:15:04.3604825Z,6.395,12462224,2042-03-16T22:20:00.4755460,13138,1244.704,160.87,2476.13,1.528,310.979,6.163,Sports-car
