recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:14:57.4714636Z,0.022,12461872,2042-03-16T08:00:31.5143565,11829,1355.051,164.811,2384.17,359.976,342.189,3.527,Station-wagon
2026-06-23T07:14:57.6847827Z,0.317,12461888,2042-03-16T08:32:58.9870688,11829,1354.531,164.812,2387.613,359.983,0.629,3.527,Station-wagon
2026-06-23T07:14:57.9441820Z,0.611,12461904,2042-03-16T09:10:39.7656406,11829,1355.433,164.768,2390.903,1.464,30.032,3.529,Station-wagon
2026-06-23T07:14:58.2114882Z,0.896,12461920,2042-03-16T09:49:58.3917932,11829,1357.664,164.597,2394.246,3.191,36.604,4.531,Station-wagon
2026-06-23T07:14:58.4886176Z,1.178,12461936,2042-03-16T10:31:39.6775874,11829,1360.8,164.227,2398.16,5.052,40.416,5.534,Station-wagon
2026-06-23T07:14:58.7510179Z,1.458,12461952,2042-03-16T11:10:15.8040358,11829,1364.586,163.666,2402.564,5.942,40.924,6.137,Station-wagon
2026-06-23T07:14:59.0225277Z,1.75,12461968,2042-03-16T11:50:37.0217092,11829,1368.585,163.01,2407.173,6.329,40.968,6.137,Station-wagon
2026-06-23T07:14:59.2780571Z,2.046,12461984,2042-03-16T12:28:23.5484242,11829,1372.583,162.324,2411.778,6.508,40.976,6.137,Station-wagon
2026-06-23T07:14:59.5538403Z,2.34,12462000,2042-03-16T13:09:00.7588845,11829,1376.581,161.622,2416.38,6.616,40.979,6.136,Station-wagon
2026-06-23T07:14:59.8212650Z,2.625,12462016,2042-03-16T13:48:33.1015338,11829,1380.583,160.913,2420.988,6.64,40.981,6.152,Station-wagon
2026-06-23T07:15:00.0741081Z,2.915,12462032,2042-03-16T14:25:50.2176006,11829,1384.59,160.205,2425.601,6.588,40.982,6.152,Station-wagon
2026-06-23T07:15:00.3426751Z,3.202,12462048,2042-03-16T15:05:34.3995289,11829,1388.599,159.507,2430.215,6.443,40.981,6.152,Station-wagon
2026-06-23T07:15:00.6076984Z,3.485,12462064,2042-03-16T15:44:37.3982240,11829,1392.608,158.83,2434.831,6.181,40.981,6.152,Station-wagon
2026-06-23T07:15:00.8877297Z,3.764,12462080,2042-03-16T16:25:54.8187206,11829,1396.621,158.195,2439.45,5.681,40.983,6.152,Station-wagon
2026-06-23T07:15:02.2297123Z,4.103,12462096,2042-03-16T17:05:26.9800517,11829,1400.64,157.654,2444.076,4.412,40.981,6.153,Station-wagon
2026-06-23T07:15:02.4965080Z,4.389,12462112,2042-03-16T17:44:53.8187679,11829,1404.669,157.347,2448.714,1.3,40.981,6.153,Station-wagon
2026-06-23T07:15:02.7609136Z,4.668,12462128,2042-03-16T18:23:24.0441118,11829,1408.706,157.265,2453.361,0.225,40.981,6.16,Station-wagon
2026-06-23T07:15:03.0255723Z,4.954,12462144,2042-03-16T19:02:50.8973672,11829,1412.09,157.252,2457.256,0.046,40.98,4.16,Station-wagon
2026-06-23T07:15:03.3042736Z,5.234,12462160,2042-03-16T19:44:11.7522950,11829,1414.494,157.249,2460.024,0.029,40.98,3.173,Station-wagon
2026-06-23T07:15:03.5598154Z,5.524,12462176,2042-03-16T20:21:48.7585477,11829,1416.28,157.248,2462.08,0.028,40.977,2.273,Station-wagon
2026-06-23T07:15:03.8248282Z,5.822,12462192,2042-03-16T21:00:50.0605159,11829,1417.115,157.247,2463.042,0.028,40.977,0.273,Station-wagon
2026-06-23T07:15:04.0911514Z,6.107,12462208,2042-03-16T21:40:12.9829990,11829,1417.196,157.247,2463.135,0.028,40.977,0.027,Station-wagon
