recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:14:57.4714636Z,0.022,12461872,2042-03-16T08:00:31.5143565,1380,1362.681,163.594,2404.954,354.054,220.979,4.137,Sedan
2026-06-23T07:14:57.6847827Z,0.317,12461888,2042-03-16T08:32:58.9870688,1380,1359.936,164.018,2401.794,354.358,220.98,4.277,Sedan
2026-06-23T07:14:57.9441820Z,0.611,12461904,2042-03-16T09:10:39.7656406,1380,1357.053,164.418,2398.475,355.224,220.978,4.552,Sedan
2026-06-23T07:14:58.2114882Z,0.896,12461920,2042-03-16T09:49:58.3917932,1380,1354.268,164.673,2395.195,358.16,219.623,4.071,Sedan
2026-06-23T07:14:58.4886176Z,1.178,12461936,2042-03-16T10:31:39.6775874,1380,1351.942,164.765,2391.875,359.261,210.402,4.066,Sedan
2026-06-23T07:14:58.7510179Z,1.458,12461952,2042-03-16T11:10:15.8040358,1380,1350.479,164.799,2388.171,359.766,192.544,3.997,Sedan
2026-06-23T07:14:59.0225277Z,1.75,12461968,2042-03-16T11:50:37.0217092,1380,1350.391,164.809,2384.217,359.934,170.204,4.066,Sedan
2026-06-23T07:14:59.2780571Z,2.046,12461984,2042-03-16T12:28:23.5484242,1380,1351.836,164.812,2380.504,359.984,147.266,4.066,Sedan
2026-06-23T07:14:59.5538403Z,2.34,12462000,2042-03-16T13:09:00.7588845,1380,1354.7,164.81,2376.943,0.056,136.258,5.115,Sedan
2026-06-23T07:14:59.8212650Z,2.625,12462016,2042-03-16T13:48:33.1015338,1380,1358.768,164.8,2373.081,0.157,131.122,6.115,Sedan
2026-06-23T07:15:00.0741081Z,2.915,12462032,2042-03-16T14:25:50.2176006,1380,1363.391,164.781,2369.054,0.184,130.986,6.148,Sedan
2026-06-23T07:15:00.3426751Z,3.202,12462048,2042-03-16T15:05:34.3995289,1380,1368.019,164.761,2365.033,0.189,130.984,6.114,Sedan
2026-06-23T07:15:00.6076984Z,3.485,12462064,2042-03-16T15:44:37.3982240,1380,1372.024,164.744,2361.554,0.189,130.983,4.495,Sedan
2026-06-23T07:15:00.8877297Z,3.764,12462080,2042-03-16T16:25:54.8187206,1380,1375.403,164.729,2358.618,0.187,130.98,4.458,Sedan
2026-06-23T07:15:02.2297123Z,4.103,12462096,2042-03-16T17:05:26.9800517,1380,1378.586,164.716,2355.854,0.177,130.981,3.972,Sedan
2026-06-23T07:15:02.4965080Z,4.389,12462112,2042-03-16T17:44:53.8187679,1380,1380.829,164.707,2353.905,0.162,130.978,1.972,Sedan
2026-06-23T07:15:02.7609136Z,4.668,12462128,2042-03-16T18:23:24.0441118,1380,1381.963,164.703,2352.92,0.149,130.982,1.032,Sedan
2026-06-23T07:15:03.0255723Z,4.954,12462144,2042-03-16T19:02:50.8973672,1380,1382.734,164.7,2352.251,0.138,130.984,1.009,Sedan
2026-06-23T07:15:03.3042736Z,5.234,12462160,2042-03-16T19:44:11.7522950,1380,1383.434,164.698,2351.643,0.124,130.984,0.846,Sedan
2026-06-23T07:15:03.5598154Z,5.524,12462176,2042-03-16T20:21:48.7585477,1380,1384.191,164.696,2350.976,0.093,131.615,1.172,Sedan
2026-06-23T07:15:03.8248282Z,5.822,12462192,2042-03-16T21:00:50.0605159,1380,1384.65,164.695,2350.567,0.093,131.615,0.057,Sedan
2026-06-23T07:15:04.0911514Z,6.107,12462208,2042-03-16T21:40:12.9829990,1380,1384.873,164.695,2350.356,0.074,133.375,0.556,Sedan
2026-06-23T07:15:04.3604825Z,6.395,12462224,2042-03-16T22:20:00.4755460,1380,1385.538,164.694,2349.71,0.067,134.561,1.299,Sedan
