recordTimeUtc,sessionSeconds,simulationFrame,gameTime,vehicleId,x,y,z,angleX,angleY,speed,prefabName
2026-06-23T07:14:57.4714636Z,0.022,12461872,2042-03-16T08:00:31.5143565,11370,1350.894,164.79,2386.964,359.841,169.822,4.066,Station-wagon
2026-06-23T07:14:57.6847827Z,0.317,12461888,2042-03-16T08:32:58.9870688,11370,1351.612,164.802,2382.962,359.841,169.822,4.066,Station-wagon
2026-06-23T07:14:57.9441820Z,0.611,12461904,2042-03-16T09:10:39.7656406,11370,1353.081,164.809,2379.258,359.951,146.927,4.066,Station-wagon
2026-06-23T07:14:58.2114882Z,0.896,12461920,2042-03-16T09:49:58.3917932,11370,1355.987,164.807,2375.77,0.087,134.8,5.066,Station-wagon
2026-06-23T07:14:58.4886176Z,1.178,12461936,2042-03-16T10:31:39.6775874,11370,1360.061,164.795,2371.982,0.163,131.352,6.066,Station-wagon
2026-06-23T07:14:58.7510179Z,1.458,12461952,2042-03-16T11:10:15.8040358,11370,1364.657,164.776,2367.961,0.186,131.026,6.148,Station-wagon
2026-06-23T07:14:59.0225277Z,1.75,12461968,2042-03-16T11:50:37.0217092,11370,1369.296,164.756,2363.927,0.189,130.997,6.148,Station-wagon
2026-06-23T07:14:59.2780571Z,2.046,12461984,2042-03-16T12:28:23.5484242,11370,1373.906,164.736,2359.92,0.187,130.986,6.067,Station-wagon
2026-06-23T07:14:59.5538403Z,2.34,12462000,2042-03-16T13:09:00.7588845,11370,1377.828,164.719,2356.512,0.177,130.982,4.324,Station-wagon
2026-06-23T07:14:59.8212650Z,2.625,12462016,2042-03-16T13:48:33.1015338,11370,1380.926,164.707,2353.821,0.168,130.981,3.884,Station-wagon
2026-06-23T07:15:00.0741081Z,2.915,12462032,2042-03-16T14:25:50.2176006,11370,1383.628,164.697,2351.474,0.132,130.983,3.275,Station-wagon
2026-06-23T07:15:00.3426751Z,3.202,12462048,2042-03-16T15:05:34.3995289,11370,1386.114,164.692,2349.166,0.055,134.647,3.512,Station-wagon
2026-06-23T07:15:00.6076984Z,3.485,12462064,2042-03-16T15:44:37.3982240,11370,1388.273,164.69,2346.43,0.022,148.788,3.512,Station-wagon
2026-06-23T07:15:00.8877297Z,3.764,12462080,2042-03-16T16:25:54.8187206,11370,1389.357,164.689,2343.631,0.008,172.368,2.617,Station-wagon
2026-06-23T07:15:02.2297123Z,4.103,12462096,2042-03-16T17:05:26.9800517,11370,1389.438,164.688,2341.911,0.003,192.353,0.867,Station-wagon
2026-06-23T07:15:02.4965080Z,4.389,12462112,2042-03-16T17:44:53.8187679,11370,1389.345,164.688,2341.488,0.003,192.353,0,Station-wagon
2026-06-23T07:15:02.7609136Z,4.668,12462128,2042-03-16T18:23:24.0441118,11370,1389.345,164.688,2341.488,0.003,192.353,0,Station-wagon
2026-06-23T07:15:03.0255723Z,4.954,12462144,2042-03-16T19:02:50.8973672,11370,1389.345,164.688,2341.488,0.003,192.353,0,Station-wagon
2026-06-23T07:15:03.3042736Z,5.234,12462160,2042-03-16T19:44:11.7522950,11370,1389.345,164.688,2341.488,0.003,192.353,0.001,Station-wagon
2026-06-23T07:15:03.5598154Z,5.524,12462176,2042-03-16T20:21:48.7585477,11370,1389.206,164.688,2341.008,0.003,196.223,1.001,Station-wagon
2026-06-23T07:15:03.8248282Z,5.822,12462192,2042-03-16T21:00:50.0605159,11370,1388.705,164.691,2339.594,359.848,201.137,2.001,Station-wagon
2026-06-23T07:15:04.0911514Z,6.107,12462208,2042-03-16T21:40:12.9829990,11370,1387.576,164.729,2337.373,358.654,210.806,3.002,Station-wagon
2026-06-23T07:15:04.3604825Z,6.395,12462224,2042-03-16T22:20:00.4755460,11370,1385.646,164.853,2334.457,357.465,215.542,4.003,Station-wagon
